 *Online Players*: 30 players out of 100
 *Ping*: 167.285 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:03:23 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *Glob, xStrile, yodabugsy, LmPiidPvP, Billdongerific, ghost_of_gaming1, GetRekdM8, Buggy865, monkey12505, t19sniper, SpaceRanger156, Luke14214...*
20 Jul 2016 04:03:33 : Cipher, general, Kburn1999#5526, servers back and ah
20 Jul 2016 04:04:58 : Cipher, general, AlphaBit(AlphaWeeb)#3869, srbr crashing hard?
20 Jul 2016 04:05:13 : Cipher, general, Kburn1999#5526, what about this @Skyd
20 Jul 2016 04:05:18 : Cipher, general, Kburn1999#5526, 
20 Jul 2016 04:06:02 : Cipher, general, Skyd#9935, That's looking closer 
20 Jul 2016 04:06:26 : Cipher, general, Skyd#9935, I have like a certain image in my head and I don't know how to explain it 
20 Jul 2016 04:06:54 : Cipher, general, Botfuzzy77#2209, **Topheralan**(Admin) is now Online!
20 Jul 2016 04:06:54 : Cipher, general, Kburn1999#5526, imma keep looking while ihave my mc chat on the lower left of my screen waiting for legendary
20 Jul 2016 04:09:12 : Cipher, general, Skyd#9935, Okei
20 Jul 2016 04:09:51 : 02Gaming, general, Botfuzzy77#2209, **Wu Tang**(Member) is now Offline!
20 Jul 2016 04:11:38 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:11:38 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 68 players out of 100
 *Ping*: 154.365 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:11:39 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *Glob, Mystz, yodabugsy, Billdongerific, Luke14214, Meltzar, ghost_of_gaming1, xStrile, LmPiidPvP, monkey12505, Buggy865, t19sniper...*
20 Jul 2016 04:12:19 : Cipher, general, Kburn1999#5526, 
20 Jul 2016 04:12:25 : Cipher, general, Kburn1999#5526, litterally looks weird
20 Jul 2016 04:15:28 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:15:29 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 76 players out of 100
 *Ping*: 165.159 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:15:29 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *Huuk, ItsFrozt, rebeccakp, MeccaUSA, Harzuul, TheOfficialJoker, SirDrac, TheGooseBoy, DocSarge99, AlphaBit, LeadHeadDead, RexWrecks...*
20 Jul 2016 04:16:12 : Cipher, general, Kburn1999#5526, @Skyd  well when u find a good one tell when i get on tomorrow
20 Jul 2016 04:16:15 : Cipher, general, Botfuzzy77#2209, **Skyd**(Champ) is now Offline!
20 Jul 2016 04:16:20 : Cipher, general, Kburn1999#5526, Gn
20 Jul 2016 04:16:21 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:16:22 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 83 players out of 100
 *Ping*: 141.978 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:16:22 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *Grrolth, Buggy865, Incredibadass, GreyDjinn, Paul_Box1, KaddyWampuz, XDUDE_, MeccaUSA, AlphaBit, nightgoda, Claudibro, gdaysir...*
20 Jul 2016 04:16:43 : Cipher, general, Botfuzzy77#2209, **Kburn1999**(Grunt) is now Offline!
20 Jul 2016 04:17:09 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:17:09 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 89 players out of 100
 *Ping*: 144.283 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:17:09 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *Huuk, AlphaBit, MeccaUSA, LeadHeadDead, DocSarge99, gdaysir, TheGooseBoy, Harzuul, SirDrac, Claudibro, Incredibadass, rebeccakp...*
20 Jul 2016 04:17:41 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:17:43 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 87 players out of 100
 *Ping*: 107.962 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:17:43 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *XDUDE_, Claudibro, Incredibadass, AlphaBit, SirDrac, MeccaUSA, rebeccakp, DocSarge99, Harzuul, Buggy865, GreyDjinn, gdaysir...*
20 Jul 2016 04:19:39 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:19:40 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 88 players out of 100
 *Ping*: 147.395 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:19:40 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *monkey12505, SpaceRanger156, SuperJesus713, DonCastello, LmPiidPvP, NinjaBoyNZ342, xStrile, ghost_of_gaming1, Billdongerific, VortexJarx7, Saerune, GetRekdM8...*
20 Jul 2016 04:23:58 : LimitlessMc, mainchat, xPalkia(lugia)#8149, I keep getting disconnected from server D:
20 Jul 2016 04:25:31 : LimitlessMc, mainchat, xPalkia(lugia)#8149, ;server
20 Jul 2016 04:25:32 : LimitlessMc, mainchat, Botfuzzy77#2209, **Server Status**
 *Online Players*: 94 players out of 100
 *Ping*: 148.183 ms
 *MC Version*: 1.8.9
20 Jul 2016 04:25:32 : LimitlessMc, mainchat, Botfuzzy77#2209, **Players Online**:
 *SirDrac, nightgoda, Harzuul, gdaysir, Claudibro, Buggy865, DocSarge99, Grrolth, n1njaspirit, Incredibadass, GreyDjinn, MeccaUSA...*
